Date,Closing Price,High,Low,Opening Price,Volume,Ticker
01-04-2015,366.6890869,404.8140421,363.9590582,374.9271446,16375750,TITAN.NS
01-05-2015,362.378479,377.6572032,320.2782199,366.6890875,19792628,TITAN.NS
01-06-2015,350.8835144,363.6237746,323.2956322,359.3131662,13259198,TITAN.NS
01-07-2015,310.0285645,351.5062186,306.867463,349.6382764,18605482,TITAN.NS
01-08-2015,325.7195129,340.4723687,303.2527843,311.4488055,22346735,TITAN.NS
01-09-2015,306.4829712,327.165853,300.0707961,323.7428208,12614187,TITAN.NS
01-10-2015,337.4350281,345.1489304,291.9229924,302.7706676,13526587,TITAN.NS
01-11-2015,367.8566895,378.3668747,317.5716983,323.0196356,17291193,TITAN.NS
01-12-2015,334.7351074,370.219072,327.6479545,368.4834265,24906130,TITAN.NS
01-01-2016,350.6932678,353.585981,315.2575319,334.735116,24028653,TITAN.NS
01-02-2016,305.47052,362.5534089,290.9105529,351.4646744,26554981,TITAN.NS
01-03-2016,326.9729614,348.089758,298.9136426,301.3242365,28410643,TITAN.NS
01-04-2016,345.3934021,373.2461558,323.9458145,328.9923162,22028996,TITAN.NS
01-05-2016,349.8575745,373.4887369,342.7730917,347.1402459,62677943,TITAN.NS
01-06-2016,394.256958,398.0418189,341.3173586,348.401841,24681258,TITAN.NS
01-07-2016,408.9597473,422.1582645,379.942438,401.5841027,15984734,TITAN.NS
01-08-2016,406.1453247,416.3353508,380.4276399,410.6095325,24085222,TITAN.NS
01-09-2016,383.4361572,431.3778012,371.8874661,406.6305933,20844563,TITAN.NS
01-10-2016,362.5222778,396.8287031,350.4398367,386.250492,28198624,TITAN.NS
01-11-2016,313.9498291,372.9549165,287.4072333,368.296631,56028081,TITAN.NS
01-12-2016,317.1524048,325.5955807,298.0339935,313.4645978,27208630,TITAN.NS
01-01-2017,351.3618164,367.2776915,315.8908303,319.2389938,22912972,TITAN.NS
01-02-2017,424.293335,444.9645212,348.4018824,353.0116566,40796493,TITAN.NS
01-03-2017,449.0890503,456.7073146,415.3649131,425.1667546,22557729,TITAN.NS
01-04-2017,456.3676453,480.9207465,442.3442151,445.9349984,24211295,TITAN.NS
01-05-2017,460.8803711,491.2078333,446.5172969,456.3676506,33195773,TITAN.NS
01-06-2017,508.9675903,552.3965142,451.5637488,461.8993711,68634406,TITAN.NS
01-07-2017,528.1830444,530.8033488,507.7544792,520.2251071,23026774,TITAN.NS
01-08-2017,601.7626953,622.4358066,524.7261456,532.9173975,51793689,TITAN.NS
01-09-2017,570.0216675,637.9406203,549.6411487,603.5179733,30295413,TITAN.NS
01-10-2017,619.4616699,623.6060416,567.6326217,570.021742,24110459,TITAN.NS
01-11-2017,798.5472412,818.0501651,618.7302594,624.0935635,76087328,TITAN.NS
01-12-2017,836.8216553,850.327405,750.8625022,800.5949536,35759926,TITAN.NS
01-01-2018,847.9383545,915.1746959,819.7078605,836.382896,42978877,TITAN.NS
01-02-2018,795.8656616,857.2510724,733.9926181,855.6908622,54522250,TITAN.NS
01-03-2018,918.8803101,940.0409958,779.1906081,793.7690566,52105184,TITAN.NS
01-04-2018,957.3986206,974.8537631,879.5819582,919.6604471,56361140,TITAN.NS
01-05-2018,877.729126,970.8555939,868.0264683,957.3985874,52312595,TITAN.NS
01-06-2018,856.6659546,903.7655051,805.5195234,884.945195,52328686,TITAN.NS
01-07-2018,889.6746216,891.2836366,779.7756912,861.1515949,66250707,TITAN.NS
01-08-2018,873.5401001,925.547003,853.6089727,896.1645585,55626954,TITAN.NS
01-09-2018,789.0166626,909.2888667,757.4305303,878.3882771,69166779,TITAN.NS
01-10-2018,827.2137451,830.4458619,717.2254712,783.5318674,75644140,TITAN.NS
01-11-2018,908.015564,914.6756334,817.2238471,827.2138317,59862219,TITAN.NS
01-12-2018,911.8352661,941.4625667,850.3280227,913.3533472,58491929,TITAN.NS
01-01-2019,975.3013306,979.414885,901.2575892,912.5698191,45082287,TITAN.NS
01-02-2019,1004.096069,1054.682871,964.8215573,982.3531072,53688856,TITAN.NS
01-03-2019,1118.344971,1128.286057,995.2815144,1010.658342,42034417,TITAN.NS
01-04-2019,1134.701172,1141.01835,1061.196036,1116.532978,33903652,TITAN.NS
01-05-2019,1210.312012,1236.805234,1045.868219,1134.701226,53743581,TITAN.NS
01-06-2019,1307.22522,1309.526941,1202.231974,1213.495247,31882139,TITAN.NS
01-07-2019,1034.60498,1313.297558,1019.570985,1302.719829,81957467,TITAN.NS
01-08-2019,1087.265015,1113.238975,981.8935016,1035.12037,49979264,TITAN.NS
01-09-2019,1252.504395,1323.293151,1008.949536,1087.264854,51483228,TITAN.NS
01-10-2019,1309.715942,1367.517786,1158.053839,1261.310021,41587284,TITAN.NS
01-11-2019,1140.983521,1311.831002,1105.072595,1310.30609,60500642,TITAN.NS
01-12-2019,1168.77771,1209.165255,1124.061272,1141.278841,39459940,TITAN.NS
01-01-2020,1168.580933,1220.331999,1113.73068,1175.172753,46430134,TITAN.NS
01-02-2020,1234.253662,1319.406882,1143.787688,1167.695439,51245823,TITAN.NS
01-03-2020,918.6312256,1273.116408,709.2655717,1254.423045,72684172,TITAN.NS
01-04-2020,954.3945313,1027.151078,842.135994,914.6957564,82000534,TITAN.NS
01-05-2020,875.6364136,954.3944857,796.9275225,954.3944857,71925415,TITAN.NS
01-06-2020,934.5204468,1033.05416,883.999203,883.999203,101609051,TITAN.NS
01-07-2020,1026.413086,1065.521564,926.600366,934.668039,80095336,TITAN.NS
01-08-2020,1082.739136,1140.29501,1026.167123,1030.102567,84490080,TITAN.NS
01-09-2020,1186.510742,1204.930399,1062.709106,1091.350894,62272813,TITAN.NS
01-10-2020,1151.350586,1266.065918,1141.276625,1188.733036,64199363,TITAN.NS
01-11-2020,1344.386353,1358.015943,1139.745744,1153.078991,66137977,TITAN.NS
01-12-2020,1547.79248,1551.594901,1318.509989,1365.91709,51221859,TITAN.NS
01-01-2021,1402.75647,1601.323023,1397.768799,1542.804881,42647675,TITAN.NS
01-02-2021,1389.521973,1568.384998,1378.756586,1420.040319,49746255,TITAN.NS
01-03-2021,1538.804932,1548.039416,1399.102057,1403.941556,37790472,TITAN.NS
01-04-2021,1473.225098,1598.014393,1433.669749,1540.730811,34931829,TITAN.NS
01-05-2021,1576.533081,1594.063833,1382.756596,1458.75606,41605220,TITAN.NS
01-06-2021,1711.100098,1770.803369,1544.878897,1588.137926,37608379,TITAN.NS
01-07-2021,1693.371948,1761.37149,1641.964821,1707.643414,22564822,TITAN.NS
01-08-2021,1902.417114,1905.783197,1707.779748,1710.7498,31781231,TITAN.NS
01-09-2021,2140.269043,2163.187847,1895.88317,1905.981299,20769186,TITAN.NS
01-10-2021,2359.755615,2651.167042,2101.459975,2135.467164,49304706,TITAN.NS
01-11-2021,2351.785889,2547.017235,2209.124312,2417.077476,25973694,TITAN.NS
01-12-2021,2497.219482,2509.693797,2182.988095,2385.743682,25044854,TITAN.NS
01-01-2022,2336.737793,2660.423889,2237.439013,2484.943329,30097266,TITAN.NS
01-02-2022,2521.128418,2538.057568,2327.778005,2355.053028,28291255,TITAN.NS
01-03-2022,2510.832031,2740.367616,2302.384103,2521.128355,34622874,TITAN.NS
01-04-2022,2433.6604,2552.066562,2385.941616,2512.663827,22164476,TITAN.NS
01-05-2022,2193.878174,2412.671981,2015.229614,2410.691946,35085402,TITAN.NS
01-06-2022,1921.870972,2281.890645,1886.428306,2232.488881,41122485,TITAN.NS
01-07-2022,2328.570068,2368.616217,1806.830989,1876.082646,35566574,TITAN.NS
01-08-2022,2587.770752,2606.101383,2323.842365,2349.475219,23148575,TITAN.NS
01-09-2022,2590.056152,2737.842209,2501.036932,2576.146876,23015328,TITAN.NS
01-10-2022,2743.604492,2772.913322,2539.038895,2607.989061,24740332,TITAN.NS
01-11-2022,2635.807617,2765.958691,2523.192068,2752.198347,21796582,TITAN.NS
01-12-2022,2580.667236,2647.729811,2439.090689,2644.749252,20260132,TITAN.NS
01-01-2023,2361.745117,2609.230957,2272.229143,2590.105704,22172111,TITAN.NS
01-02-2023,2357.42334,2529.351954,2254.892166,2392.941665,22285370,TITAN.NS
01-03-2023,2498.602295,2520.310795,2305.958945,2354.641405,19769817,TITAN.NS
01-04-2023,2624.72998,2661.937243,2497.012981,2509.531183,14973752,TITAN.NS
01-05-2023,2804.954346,2823.48339,2616.334544,2624.729979,19889975,TITAN.NS
01-06-2023,3027.899902,3048.068399,2796.459561,2804.954202,17926873,TITAN.NS
01-07-2023,2984.582764,3189.198088,2930.882978,3030.334392,21335983,TITAN.NS
01-08-2023,3094.324951,3108.77766,2873.048992,3014.984708,20127735,TITAN.NS
01-09-2023,3138.530518,3341.06775,3076.234356,3101.800603,19311415,TITAN.NS
01-10-2023,3179.24707,3318.142687,3064.971091,3138.530446,15644455,TITAN.NS
